id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm
723093141755668530,A网红50层豪华空中泳池健身房Asoke商圈市中心双轨BTS/MRT+Nana/Soicowboy,129986395,Ed,Vadhana,13.73966,100.56198,Entire home/apt,2150,1,16,2022-12-28,5.78,13,16
733216479160303917,曼谷市中心rama9豪华高层城市景观公寓近火车夜市暹罗广场Asoke通罗摩天轮夜市15,134974883,Yoyo,Huai Khwang,13.7562269,100.5683134,Entire home/apt,1100,20,2,2022-12-08,1.09,8,2
723128712260784939,湄南河旁的温馨公寓,455700678,Zhang,Bangkok Noi,13.75353,100.46725,Entire home/apt,800,3,4,2022-12-05,1.4,20,4
723412133767450215,40big1bedroom,270215556,Ideomobi,Huai Khwang,13.756069936482952,100.56815030839846,Entire home/apt,3857,1,2,2022-11-12,0.71,28,2
723572851364784185,The Sweet Home :1 BR/Netflix/MRT,132745392,Mt,Huai Khwang,13.75906,100.57005,Entire home/apt,2071,1,1,2022-10-04,0.35,25,1
723602781273346923,Cozy room close to BTS Onnut (Special discount),443981006,Pennapa,Suanluang,13.70821,100.60513,Entire home/apt,1000,2,5,2022-11-15,2.24,1,5
723642134466860477,Private room near DMK airport,480575437,Kate,Lak Si,13.88601,100.58755,Private room,926,3,1,2022-10-18,0.42,1,1
723643486299270149,"2 Minute walk BTS Ratchathewi,Pratunam, MBK,Siam",40262107,Patty,Ratchathewi,13.752,100.53125,Private room,1521,1,4,2022-12-04,1.4,39,4
723667138476801350,曼谷湄南河无敌超美一线河景公寓大皇宫郑王庙卧佛寺摩天轮夜市iconsiam商场暹罗广场四面佛17,134974883,Yoyo,Bang Phlat,13.7859572,100.4977561,Entire home/apt,650,15,1,2022-10-31,0.51,8,1
723709582308758644,Liquid house A 》 lovely private /2mins from MRT,39788305,Wirin,Din Daeng,13.78231,100.57397,Private room,729,1,15,2022-12-27,5.06,2,15
723723551594094834,Bright studio near Bangkok hospital w/ 500mb wi-fi,23503077,Nan,Huai Khwang,13.75137,100.59054,Entire home/apt,759,4,3,2022-12-11,1.45,12,3
723773471027017948,8-Bts thonglo 700m free swimming pool gym,402093105,Hi Gravity,Khlong Toei,13.72209,100.5747,Entire home/apt,1581,7,4,2022-12-09,1.35,45,4
723784554839401037,10-BTS Thong Lo free swimming pool and gym,402093105,Hi Gravity,Khlong Toei,13.7237,100.57488,Entire home/apt,1581,7,20,2022-12-13,7.06,45,20
723798178043182930,Room Modern  asoke rama9 near MRT  & airport link,185602387,Pluem,Ratchathewi,13.753996053266922,100.56407164782284,Private room,3957,3,4,2022-11-04,1.46,16,4
723799330407965986,查浦特通罗25,402093105,Hi Gravity,Vadhana,13.74059,100.58233,Entire home/apt,1524,4,2,2022-09-29,0.65,45,2
723807971135024287,1-查浦特通罗25,402093105,Hi Gravity,Vadhana,13.73931,100.58284,Entire home/apt,1524,4,2,2022-09-30,0.65,45,2
723811256442237021,Bangkok Studio Room Next to Terminal 21 BTS MRT,50861914,Tui Chea,Vadhana,13.7387455396311,100.56106841321407,Private room,2000,3,1,2022-11-02,0.53,2,1
724187836628482498,"Cozy living in downtown. pool&gym,2mins to Bts st",461455435,Wiphaphan,Phra Khanong,13.70148,100.60447,Entire home/apt,1490,3,3,2022-10-30,1.07,3,3
724191320295359786,Baby deer : Private room in Silom area,227784412,Bank,Bang Rak,13.72433,100.52092,Entire home/apt,739,1,2,2022-12-01,0.85,19,2
724202123688855915,Great location Walk- 5mins to Khaosan Road,465472724,Pornanong,Phra Nakhon,13.76196,100.50248,Private room,971,1,7,2022-11-12,2.41,9,7
724205130881557961,Private room @Khet Phra Nakhon 5mins to Khaosan Rd,465472724,Pornanong,Phra Nakhon,13.75965,100.50221,Private room,650,1,8,2022-12-24,2.7,9,8
724240768642948718,Spacious 3-Bedrooms apartment in Sathorn with pool,434168399,Krittika,Yan na wa,13.71037,100.54215,Entire home/apt,10143,1,1,2022-10-08,0.37,44,1
724327597234154700,Central Flat at Foodies' Paradise w/ Breakfast,26620868,Gilles,Sathon,13.72121,100.53879,Entire home/apt,2856,2,2,2022-11-30,0.91,34,2
